,Architecture,Source Dataset,Target Dataset,Oracle
472,regnety002,Unknown,weather,0.914536157779401
473,regnety004,Unknown,weather,0.9276844411979548
474,regnety006,Unknown,weather,0.9218407596785976
475,regnety008,Unknown,weather,0.9233016800584368
476,diracnet18v2,Unknown,weather,0.8911614317019723
477,diracnet34v2,Unknown,weather,0.8809349890430972
478,densenet121,Unknown,weather,0.9203798392987582
479,espnetv2_wd2,Unknown,weather,0.8955441928414901
480,hrnet_w18_small_v1,Unknown,weather,0.91672753834916
481,hrnetv2_w18,Unknown,weather,0.933528122717312
482,ror3_56_cifar10,Unknown,weather,0.8422205989773557
483,ror3_56_cifar100,Unknown,weather,0.8626734842951059
484,ror3_56_svhn,Unknown,weather,0.7823228634039445
485,condensenet74_c4_g4,Unknown,weather,0.924762600438276
486,condensenet74_c8_g8,Unknown,weather,0.929145361577794
487,shakeshakeresnet20_2x16d_cifar10,Unknown,weather,0.8268809349890431
488,shakeshakeresnet20_2x16d_cifar100,Unknown,weather,0.8349159970781592
489,shakeshakeresnet20_2x16d_svhn,Unknown,weather,0.789627465303141
490,peleenet,Unknown,weather,0.91672753834916
491,wrn50_2,Unknown,weather,0.929145361577794
492,espnetv2_w1,Unknown,weather,0.9079620160701242
493,vovnet27s,Unknown,weather,0.914536157779401
494,vovnet57,Unknown,weather,0.9408327246165084
495,selecsls60,Unknown,weather,0.926953981008035
496,hardnet39ds,Unknown,weather,0.9262235208181154
497,hardnet68,Unknown,weather,0.9181884587289992
498,sqnxt23_w1,Unknown,weather,0.8999269539810081
499,sqnxt23_w2,Unknown,weather,0.9181884587289992
500,shufflenet_g1_w1,Unknown,weather,0.9057706355003652
501,shufflenet_g4_w1,Unknown,weather,0.9065010956902848
502,menet108_8x1_g3,Unknown,weather,0.8926223520818115
503,menet160_8x1_g8,Unknown,weather,0.8984660336011687
504,mobilenet_w1,Unknown,weather,0.9181884587289992
505,mobilenet_w3d4,Unknown,weather,0.9225712198685172
506,fdmobilenet_w1,Unknown,weather,0.9094229364499636
507,igcv3_w1,Unknown,weather,0.91672753834916
508,igcv3_wd4,Unknown,weather,0.8802045288531775
509,mnasnet_b1,Unknown,weather,0.9254930606281958
510,darts,Unknown,weather,0.9254930606281958
511,proxylessnas_gpu,Unknown,weather,0.9233016800584368
512,fbnet_cb,Unknown,weather,0.9203798392987582
513,xception,Unknown,weather,0.93718042366691
514,inceptionv3,Unknown,weather,0.9225712198685172
515,inceptionv4,Unknown,weather,0.9327976625273924
516,nasnet_4a1056,Unknown,weather,0.9240321402483564
517,spnasnet,Unknown,weather,0.9196493791088386
518,efficientnet_b0,Unknown,weather,0.9357195032870708
519,efficientnet_b1,Unknown,weather,0.926953981008035
520,efficientnet_b0b,Unknown,weather,0.9254930606281958
521,efficientnet_edge_large_b,Unknown,weather,0.926953981008035
522,mixnet_l,Unknown,weather,0.9306062819576332
523,mobilenet_w1_cub,Unknown,weather,0.8787436084733382
524,proxylessnas_mobile_cub,Unknown,weather,0.887509130752374
525,bninception,Unknown,germ,0.7115384615384616
